"area_council","Horses","Goats","Pigs","Sheep","Cattle","Chickens","Other 1","Ducks"
"north east malekula",94,129,1456,11,1598,14924,0,118
"south malekula",13,158,2297,0,1588,8174,0,16
"vermali",13,25,790,0,690,5915,0,1
"north tongoa",0,516,1932,0,1236,5018,2,0
"tongariki",0,1096,1033,0,256,4316,0,0
"makimae",1,545,1297,0,668,4294,0,38
"emau",0,373,313,0,20,1654,0,19
"nguna",0,250,370,0,293,3128,0,2
"aniwa",0,26,492,0,3,1308,0,10
"futuna",0,0,146,0,0,1212,0,0
"aneityum",1,152,514,0,257,2241,0,98
"ureparapara",0,3,147,0,67,900,0,23
"torres",0,0,307,0,63,2488,0,0
"merelava",0,0,408,0,0,1464,0,0
"gaua",0,24,1477,0,1350,7302,0,5
"mota",0,0,103,0,10,1325,0,0
"east malo",1,448,386,0,1802,7746,0,50
"west malo",0,349,1527,0,890,9177,50,140
"motalava",0,1,311,0,87,1692,0,2
"central pentecost 1",2,35,1967,0,1168,7050,0,35
"central pentecost 2",66,8,3756,0,1348,11313,0,31
"north pentecost",0,24,4120,0,1169,18211,0,20
"south pentecost",5,12,2231,12,1788,9704,0,6
"east ambae",0,0,783,0,486,10133,0,112
"north ambae",1,11,743,0,394,17322,0,22
"south ambae",0,2,426,0,548,4803,0,0
"west ambae",26,3,644,0,646,21694,0,18
"north maewo",3,182,1901,0,895,7975,0,108
"south maewo",0,6,682,0,541,4854,0,5
"canal - fanafo",75,510,951,20,1552,11008,0,123
"north ambrym",20,4,1997,0,1207,11118,0,0
"south east ambrym",1,63,1761,0,808,7514,0,0
"west ambrym",3,59,3091,0,1402,8724,0,31
"south epi",4,760,722,0,1932,6553,0,0
"varisu",20,84,600,0,718,4468,0,0
"vermaul",68,234,854,0,1018,5845,0,14
"paama",3,3,291,0,273,7953,0,0
"malorua",2,128,832,3,293,8663,240000,579
"ifira",0,2,78,0,15,489,0,2
"north erromango",3,224,330,0,565,3079,0,34
"south erromango",0,107,176,0,207,1350,0,4
"vanua lava",3,3,832,0,574,6144,0,2
"middle bush tanna",198,505,3160,0,834,9058,0,79
"north tanna",74,1028,1532,0,1036,5627,0,30
"south tanna",1,162,595,0,235,1690,0,15
"south west tanna",4,692,2454,0,747,5864,0,27
"west tanna",64,680,7081,0,1466,19217,0,136
"whitesands",27,294,5155,0,406,9875,1,82
"central malekula",6,75,1627,0,1020,14925,0,69
"north west malekula",6,323,847,0,2347,11275,0,14
"south east malekula",2,18,2227,0,1454,11294,0,20
"south west malekula",3,22,646,0,2038,6324,0,28
"east santo",437,78,1405,5,9646,13694,0,139
"luganville",93,346,827,0,35637,9490,0,117
"north santo",918,689,2246,0,8627,11149,13,62
"north west santo",416,317,1182,0,1032,4601,0,51
"south east santo",39,162,805,0,2581,15496,0,264
"south santo",210,161,1491,0,4066,13110,0,130
"west santo",113,751,1298,0,2048,5431,0,54
"erakor",78,131,1741,0,1934,11572,0,261
"eratap",0,172,1148,9,949,14567,4,783
"eton",29,271,1115,73,654,9724,0,194
"mele",1,4,1570,0,245,5827,0,261
"north efate",2,311,910,0,1286,6470,0,66
"pango",0,22,240,0,2,1853,6,84
"port vila",71,196,1553,107,1558,13686,0,521
