"","cause_of_diff_seeing","sex","age","population"
"1",NA,NA,NA,NA
"2",NA,"Female",3,20203
"3",NA,"Female",6,18909
"4",NA,"Female",10,16707
"5",NA,"Female",16,14104
"6",NA,"Female",23,13002
"7",NA,"Female",25,12418
"8",NA,"Female",33,10857
"9",NA,"Female",36,8501
"10",NA,"Female",41,7587
"11",NA,"Female",45,6501
"12",NA,"Female",50,5530
"13",NA,"Female",56,4397
"14",NA,"Female",62,3474
"15",NA,"Female",67,2447
"16",NA,"Female",71,1612
"17",NA,"Female",76,1013
"18",NA,"Female",83,1160
"19",NA,"Male",0,21395
"20",NA,"Male",6,20524
"21",NA,"Male",10,18028
"22",NA,"Male",15,14875
"23",NA,"Male",23,12739
"24",NA,"Male",25,11815
"25",NA,"Male",30,10064
"26",NA,"Male",35,8489
"27",NA,"Male",40,7516
"28",NA,"Male",48,6744
"29",NA,"Male",52,5432
"30",NA,"Male",59,4356
"31",NA,"Male",63,3381
"32",NA,"Male",65,2411
"33",NA,"Male",72,1609
"34","Acquired","Male",78,1091
"35",NA,"Male",84,1128
