"","cause_of_diff_selfcare","sex","age_5yr_grp_80","population"
"1",NA,NA,NA,NA
"2",NA,"Female"," 0-4",20203
"3",NA,"Female"," 5-9",18909
"4",NA,"Female","10-14",16707
"5",NA,"Female","15-19",14104
"6",NA,"Female","20-24",13002
"7",NA,"Female","25-29",12418
"8",NA,"Female","30-34",10857
"9",NA,"Female","35-39",8501
"10",NA,"Female","40-44",7587
"11",NA,"Female","45-49",6501
"12",NA,"Female","50-54",5530
"13",NA,"Female","55-60",4397
"14",NA,"Female","60-64",3474
"15",NA,"Female","65-69",2447
"16",NA,"Female","70-74",1612
"17",NA,"Female","75-79",1013
"18",NA,"Female","80+",1160
"19",NA,"Male"," 0-4",21395
"20",NA,"Male"," 5-9",20524
"21",NA,"Male","10-14",18028
"22",NA,"Male","15-19",14875
"23",NA,"Male","20-24",12739
"24",NA,"Male","25-29",11815
"25",NA,"Male","30-34",10064
"26",NA,"Male","35-39",8489
"27",NA,"Male","40-44",7516
"28",NA,"Male","45-49",6744
"29",NA,"Male","50-54",5432
"30",NA,"Male","55-60",4356
"31",NA,"Male","60-64",3381
"32",NA,"Male","65-69",2411
"33",NA,"Male","70-74",1609
"34",NA,"Male","75-79",1091
"35",NA,"Male","80+",1128
